qa_id,category,attribute,intent_full,sentiment,question,answer,product,q_len,a_len,provenance
400076,규격배송취소,일반,규격배송취소_취소가능_질문,m,예약 취소하고 싶은데 가능한가요?,현재 예약 상태를 확인 후 안내드리겠습니다.,,18,24,합성
400077,규격배송취소,일반,규격배송취소_주소변경_질문,m,주소를 잘못 입력했는데 바꿀 수 있나요?,접수 상태를 확인 후 안내드리겠습니다.,,22,21,합성
400078,규격배송취소,일반,규격배송취소_규격불일치_질문,m,예약한 것보다 물건이 더 크면 어떻게 되나요?,추가운임이나 수거 제한이 있을 수 있어 안내드리겠습니다.,,25,31,합성
400079,규격배송취소,일반,규격배송취소_금지물품_질문,m,현금도 택배로 보낼 수 있나요?,반입이 제한되는 물품이라 안내드리겠습니다.,,17,23,합성
400080,규격배송취소,일반,규격배송취소_제한물품_질문,m,액체류도 보낼 수 있나요?,택배사 기준에 따라 달라 확인해 안내드리겠습니다.,,14,27,합성
400081,규격배송취소,일반,규격배송취소_도서산간_질문,m,제주도나 섬 지역도 배송되나요?,택배사·서비스별 이용 가능 여부를 확인해 안내드리겠습니다.,,17,32,합성
400082,규격배송취소,일반,규격배송취소_조회지연_문의,n,수거는 됐는데 배송조회에 아직도 안 떠요.,전산 등록 시점을 확인 후 안내드리겠습니다.,,23,24,합성
400083,이용범위밖,일반,이용범위밖_매장_질문,m,오프라인 매장은 몇 시까지 하나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,19,27,합성
400084,이용범위밖,일반,이용범위밖_매장위치_질문,m,매장 위치가 어디인가요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,13,27,합성
400085,이용범위밖,일반,이용범위밖_타채널_질문,m,쿠팡에서 주문한 물건도 여기서 환불되나요?,해당 채널 고객센터로 문의해 주셔야 확인이 가능합니다.,,23,30,합성
400086,이용범위밖,일반,이용범위밖_입점_질문,m,입점 문의는 어디로 하면 되나요?,담당 부서로 문의해 주셔야 확인이 가능합니다.,,18,25,합성
400087,이용범위밖,일반,이용범위밖_채용_질문,m,채용 공고는 어디서 확인하나요?,해당 채널을 통해 확인해 주셔야 합니다.,,17,22,합성
400088,이용범위밖,일반,이용범위밖_세금계산서_질문,m,세금계산서 발행 부서 연락처 좀 알려주세요.,담당 부서로 문의해 주셔야 확인이 가능합니다.,,24,25,합성
400089,이용범위밖,일반,이용범위밖_파손보상_문의,n,택배기사가 물건을 파손했는데 여기서 보상해주나요?,택배사 확인이 필요한 사항이라 병행 확인해 안내드리겠습니다.,,27,33,합성
400090,이용범위밖,일반,이용범위밖_타사이트조회_질문,m,다른 사이트에서 예약한 것도 여기서 조회되나요?,해당 사이트에서 확인해 주셔야 합니다.,,26,21,합성
490001,택배예약,일반,택배예약_경로_질문,m,예약 어디서 해요?,,,10,0,합성(경로 문의 보강)
490002,택배예약,일반,택배예약_경로_질문,m,전화로 예약되나요?,,,10,0,합성(경로 문의 보강)
490003,배송조회,일반,배송조회_경로_질문,m,예약한 내역을 확인할 수가 없어요.,,,19,0,합성(경로 문의 보강)
490004,배송조회,일반,배송조회_경로_질문,m,배송 조회는 어디서 해요?,,,14,0,합성(경로 문의 보강)
490005,기타,행정,기타_경로_질문,m,세금계산서는 어디서 발급받나요?,,,17,0,합성(경로 문의 보강)
