qa_id,hard_type,route_expected,route_alt,question,expected_behavior,sentiment,provenance,note,route_expected_v2,route_alt_v2
500023,다중의도,ORDER_SYNC,BIZ_ACCOUNT,주문연동 신청하는 법이랑 사업자택배 신청 조건 같이 알려주세요.,두 개의 별도 신청 절차 문의가 섞였다.,m,합성,저작 시 유형 지정,BIZ_BULK,
500024,다중의도,SPEC_SHIPPING,VISIT_PICKUP,배송조회 안 되는 것도 확인해주시고 다음 방문 날짜도 다시 잡아주세요.,조회 문의와 일정 재조정 두 건이다.,n,합성,저작 시 유형 지정,SPEC_SHIPPING,VISIT_PICKUP
500025,다중의도,CVS_PICKUP,BULK_DISCOUNT,제주도 배송 되는 편의점택배 알려주시고 박스 여러 개면 얼마나 싸지는지도요.,지역 가능 여부와 다량 할인 두 건이다.,m,합성,저작 시 유형 지정,CVS_PICKUP,BIZ_BULK
500026,문맥의존,OTHER,,그럼 그걸로 할게요.,앞 턴에서 특정된 대상(서비스·택배사)이 필요하다.,m,합성,저작 시 유형 지정,OTHER,
500027,문맥의존,OTHER,,아까 말씀하신 날짜로 해주세요.,직전 안내받은 방문 희망일을 알아야 한다.,m,합성,저작 시 유형 지정,OTHER,
500028,문맥의존,OTHER,,그 브랜드가 더 싼가요?,비교 대상 브랜드가 앞 대화에 있다.,m,합성,저작 시 유형 지정,OTHER,
500029,문맥의존,OTHER,,거기로 보내주시면 됩니다.,수취인 주소가 앞 대화에 있다.,m,합성,저작 시 유형 지정,OTHER,
500030,문맥의존,OTHER,,그 번호로 조회해보니 안 뜨던데요.,어떤 번호(예약번호·운송장번호)인지 앞에 있다.,n,합성,저작 시 유형 지정,OTHER,
500031,문맥의존,OTHER,,네 그걸로 진행해주세요.,무엇을 진행하는지 앞 턴을 봐야 안다.,m,합성,저작 시 유형 지정,OTHER,
500032,문맥의존,OTHER,,둘 중에 더 싼 걸로 할게요.,선택지가 앞 턴에 제시되어 있다.,m,합성,저작 시 유형 지정,OTHER,
500033,분류체계밖,OTHER,,오프라인 매장은 어디 있나요?,이 서비스는 온라인 전용이다. 범위 밖 안내 후 종료.,m,합성,저작 시 유형 지정,OTHER,
500034,분류체계밖,OTHER,,쿠팡에서 산 것도 여기서 환불되나요?,외부 채널 주문 자체의 처리는 범위 밖이다.,m,합성,저작 시 유형 지정,OTHER,
500035,분류체계밖,OTHER,,입점 문의는 어디로 하나요?,상담 범위 밖이다.,m,합성,저작 시 유형 지정,OTHER,
500036,분류체계밖,OTHER,,채용 공고는 어디서 보나요?,상담 범위 밖이다.,m,합성,저작 시 유형 지정,OTHER,
500037,분류체계밖,OTHER,,세금계산서 발행 부서 연락처 알려주세요.,일반 상담 범위를 벗어난다.,m,합성,저작 시 유형 지정,OTHER,
500038,분류체계밖,OTHER,,택배기사가 물건을 파손했는데 보상은 어디서 받나요?,택배사 사고 처리 자체는 범위 밖이며 병행 확인 대상이다.,n,합성,저작 시 유형 지정,OTHER,
500039,텍스트손상,VISIT_PICKUP,,방문택배 언제와요??예약한지 이틀됫는데,공백과 종결이 깨졌고 오타가 있다.,n,합성,저작 시 유형 지정,VISIT_PICKUP,
500040,텍스트손상,SPEC_SHIPPING,,배송조회가안돼요 운송장번호는있는데,공백이 거의 없다.,m,합성,저작 시 유형 지정,SPEC_SHIPPING,
500041,텍스트손상,CVS_PICKUP,,편의점 예약번호가 조회 가 안된다고 하네요,조사와 어미가 분리됐다.,m,합성,저작 시 유형 지정,CVS_PICKUP,
500042,텍스트손상,BULK_DISCOUNT,,박스 여러개 보낼려는데 최소 수량이 몆개에요,오타가 있다(몆개).,m,합성,저작 시 유형 지정,BIZ_BULK,
500043,텍스트손상,RESERVE_GENERAL,,택배 예약 할려면 뭐부터 해야하나요,구어체 표기와 붙여쓰기가 섞였다.,m,합성,저작 시 유형 지정,RESERVE_GENERAL,
500044,텍스트손상,ORDER_SYNC,,주문이 자꾸 안들어와요 연동 한지 며칠 됫는데,오타(됫는데)와 공백 누락이 섞였다.,n,합성,저작 시 유형 지정,BIZ_BULK,
500045,텍스트손상,BIZ_ACCOUNT,,사업자택배 승인 이 계속 안나요 왜이런거죠,조사 분리와 오타가 섞였다.,n,합성,저작 시 유형 지정,BIZ_BULK,
